,Reviews,Date,Names,Tittles
780,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
too complex for novice to set up
"
781,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Pretty computer savvy
"
782,"
Too many steps using adobe. Set up weeks ago through google store but could not access downloaded ebooks from library. Took tablet to 2 libraries for assistance but 5 employees failed also in retrieving downloads. Only had success when deleting google app and redownloading app through amazon. Only had 4 days and so far amazon app is working okay.
","May 12, 2013",Cindy B.,"
Fine
"
783,"
I don't know. I have not figured out how to get the books from the library. I am 70 years old. Pretty computer savvy. But I have not gotten any books yet on my kindle. The ones I have chosen.
","September 21, 2016",Peggy Holsclaw,"
No information on how to use this software
"
784,"
I still can't figure out how to change to a new library on my Kindle Fire.  I can't download the app.  I need more and better instructions for an old non-computer user.
","June 27, 2017",NaMaNi,"
Over Drive Media console for Library ebook lending
"
785,"
Using a Kindle 10, I was unable to determine (for quite some time) how to navigate this tool. Still am not comfortable with it. Some of the functions do not work. Others, well, not sure if they actually do something. Example: finding a bookshelf to search. Haven't had it work the same way twice. Another example is tring to check a book in. Where do you go? found it by accident, only to discover that Overdrive said it returned the book, but actually didn't. Not at all impressed with this tool. And what is with the need to buy instructions to learn how to use this? Really?
","December 11, 2018",MrT,"
Overdrive media console
"
786,"
Nice and easy process for downloading books from your local library to you mobile reader.  Found the initial set up process a bit confusing and a bit disconcerning, but when it finally worked, I like the end result.
","March 9, 2013",Amazon Customer,"
Difficult to use  chaged for books I did not want
"
787,"
Wish I had read the reviews before downloading this app!!!!! It does not work with my Kindle Fire HD-----too bad Amazon did not put that in the little information!  Cannot use will delete it. Not a happy camper.
","August 2, 2014",Jan,"
Couldn't read book
"
788,"
I wanted to use Overdrive to find free books for my Kindle
","January 8, 2020",Susan Burley,"
OverDrive for epub media
"
789,"
I needed overdrive to download and read ebooks from my local library. My book never showed up so I couldn't read it.
","July 28, 2018",Amazon Customer,"
Awful ""upgrade"" Less user friendly now.
"
790,"
OverDrive was recommended as the program to play epub files on my Kindle....it didn't work.
","April 21, 2016",Kindle Customer,Does not work on Kindle fire
791,"
This app no longer syncs with my Android tablet Kindle or Windows Phone Kindle.  I used to read books on my phone via Kindle App so I wouldn't have to lug my tablet.  No matter which device I used, I would always be logged in, and it would go to furthest page read.  The powers that be really screwed things up.  Plus, it seems like I'm going to have to keep my library card with me to log in since the number is too long to memorize which I need to log in.
","November 18, 2016",Amazon Customer,Libby by Overdrive is a necessary app on Amazon Fire Tablets
792,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
I hate reading on my PC or phone
"
793,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
No good
"
794,"
I am reading many reviews that the new update doesn't work on the Kindle.  Are you all working to fix this? I hate reading on my PC or phone, and not all library books are available for the Kindle app.  Please help!!!
","January 29, 2017",Sherri Grubb,"
Confusing app
"
795,"
Didn't work right
","July 30, 2017",Nancy Bailey,"
poor site
"
796,"
This app isn't as user-friendly as I originally thought... I will definitely need to look up more of how to use it. For now, there's nothing obvious for me to follow as to how to get started to view ebooks and find audios, options...
","June 27, 2018",Summer Hanson,"
Not easy to work with
"
797,"
Site is difficult to navigate.  Cannot load books to my Kindle need to read from my browser.  site is often down
","August 24, 2018",Geraldine Goodrich,"
Kinks to work out
"
798,"
Not easy to use or understand. Still working on it. Even my kid lost interest in it when looking for books (age7, but reads at 3rd grade level).
","July 30, 2015",Kristy Dean,"
Three Stars
"
799,"
Syncing constantly drains my battery.  Always loading when I'm turning pages.  Getting stuck on the loading page.And I can't use it while in airplane mode.  It's a nice idea for checking out library books, but definitely has some flaws.
","January 31, 2016",Tiffany Treece,"
Bad website
"
800,"
So far so good 😊
","January 9, 2017",maslah`,"
Glitchy
"
801,"
Very difficult to retrieve a book from this site. Hate it.
","November 13, 2017",Jff,"
works but has a few bugs
"
802,"
Sometimes Amazon will download your book and sometimes it won't
","December 26, 2016",Patty N.,Does not work on Kindle fire
803,"
I like using Overdrive, but it has a few bugs that make it frustrating.  Pages are constantly loading halfway, requiring me to go back one page and then forward again.  Also, it recently started forgetting the last page I read, which is extremely annoying if I forget to bookmark it.
","October 7, 2014",JenO,Libby by Overdrive is a necessary app on Amazon Fire Tablets
804,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Didn't work for me.
"
805,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
overdrive
"
806,"
Could not get it to download a book to either my tablet or smartphone. Would say ""syncing"" for awhile, then go back to the sign-in screen.
","November 25, 2015",Margot602,"
Two Stars
"
807,"
great idea, implementation is still a bit awkward.
","December 17, 2016",J.M.,"
Help! I cannot find it in my computer files ...
"
808,"
Still having trouble accessing the books.
","March 29, 2016",Monica Gramling,"
An ok app-not the best, but not the worst
"
809,"
Help!  I cannot find it in my computer files, so no I have not used it!
","September 21, 2017",TM,"
I find it too difficult to work with. So ...
"
810,"
This app seems to work slowly.  I wish that there was an option to stay signed in to Media on Demand.  The search engine doesn't always seem to work.  Sometimes I have to re-enter what I entered in the search box because it didn't work.  I like the options for borrowing length.  I like being able to take books out from my library.
","February 24, 2015",Kristen M Muchowicz,"
not worth the tremendous trouble
"
811,"
I find it too difficult to work with.  So far the libraries don't have too many ebooks.  I will just stick with traditional books until they make the library ebooks user friendly.
","July 30, 2014",Amazon Customer,"
More books please!
"
812,"
It is very confusing & certainly not user friendly.  Too many silly steps & bad process.  I'm very disappointed - I've lost sight in one eye & got a book reader so I could enlarge the type.  thought getting ebooks from my library would be easy & free - just didn't work.
","February 17, 2016",Dr.,"
Not for public libraries!
"
813,"
Not as many audio and ebook available for borrow as I thought!
","January 31, 2017",Annie2,"
Ok
"
814,"
Strangely, this app you have to ""buy"" from Amazon to be able to download ebooks from public libraries doesn't work on the Kindle Fire because Amazon has restricted access to public offerings. So, No this purchase was not very satisfying.
","January 27, 2017",Amazon Customer,Does not work on Kindle fire
815,"
This app isn't the best.  It requires you to still have to go to the website and log in.  Configuring properly was also a bit cumbersome.  Also the Howard County Library system doesn't have alot of selection
","February 14, 2013",Daniel,Libby by Overdrive is a necessary app on Amazon Fire Tablets
816,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Dislike the app
"
817,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
The app doesn't work as well as an Amazon e-book ...
"
818,"
I couldn't even get a book :(  !!!!  Dislike the app.
","February 9, 2017",Amazon Customer,"
Functionality
"
819,"
The app doesn't work as well as an Amazon e-book. It sometimes takes several taps to get the page to turn and bookmarking is difficult.
","October 10, 2015",carol kalb,"
Three Stars
"
820,"
I can’t get my ebooks to download from the app. I have to read in a browser instead of the app.
","February 16, 2019",AE,"
Good way to browse library collections.
"
821,"
Wish they had more books available or got ones in that I have requested.
","March 8, 2017",Kindle Customer,"
Not for old Kindle fire
"
822,"
I can keep track of multiple library accounts.Selections are viewed through the console app.If I visit the library web site from my pc it will send a Kindle version to my Fire and Amazon keeps track of bookmarks and preferences.
","May 4, 2013",RAB,"
Love it
"
823,"
Cannot use on older Kindle fire.  Borrowed books but can't find them
","December 1, 2018",Kathleen M.,"
kindle fire
"
824,"
I love using overdrive to check out library books
","October 2, 2017",sara,"
Overdrive reader needs to consistently work; not there yet.
"
825,"
old system less complicated for downloading and finding books on my kindle fire.
","September 19, 2016",Mr. McSymphony,"
Wish there was a different app choice for my library
"
826,"
Product works for majority of the time.  Several books were not able to display with Overdrive, hence the low score.
","November 13, 2017",C Bustos,Does not work on Kindle fire
827,"
Thrilled to be able to borrow e books from library, but this is not an easy or enjoyable app to use. Too many single steps and no memory or customization. Filters are awkward.
","August 27, 2014",Gr8OKcooks,Libby by Overdrive is a necessary app on Amazon Fire Tablets
828,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Two Stars
"
829,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Not user friendly set-up
"
830,"
OK
","June 9, 2017",Mario Moccia,"
Not used much anymore. Audio book selection too limited.
"
831,"
Difficult to see up
","August 17, 2017",nancy campbell,"
Room for improvment
"
832,"
They don't usually have the books I want to hear so I don't use it very often.
","March 9, 2016",Ann Marie,"
No that good on my 2nd Gen Kindle fire
"
833,"
I really like it but quirks are too slow to sign in section.  Number of holds was 10 then 400+/- now back to 10 why the limit if capability is there?  Love quick return feature I read  about 3/4 a. week.
","December 30, 2016",mary agnew,"
It's not Libby...
"
834,"
I have the older 2nd Gen Kindle fire and it was very slow turning pages.
","October 19, 2016",TM800,"
Three Stars
"
835,"
Not as good as Libby - but works fine
","March 31, 2018",Andrew,"
Didn't need it.
"
836,"
I thought I could use this nationwide but I can't
","November 28, 2016",whitewolf,"
Difficult
"
837,"
Figured out how to download info to the Kindle Fire. Didn't need this.
","February 29, 2016",Gweman,"
One Star
"
838,"
This app is a little difficult to figure out but it's nice to be able to listen to free audio books through the library. I just wish they offered better books to listen to.
","June 24, 2014",Henry,Does not work on Kindle fire
839,"
kindle fire limits what i can get here so i don't use it my review is tainted
","June 13, 2015",Linda Vosdoganes,Libby by Overdrive is a necessary app on Amazon Fire Tablets
840,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Free down load. Needs coordination / public library. ...
"
841,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
overdrivemedia council
"
842,"
Free down load.  Needs coordination / public library.  I have used it only once.  Needs a learning curve
","November 7, 2015",Joan Wiseman,"
MUST BE CONNECTED TO THE INTERNET ONLY
"
843,"
The concept is good.  It is a bit difficult to use but will get better with more use. It would be nice not to have to enter your personel info. each time you want to order a book for your kindle.
","November 15, 2013",John D,"
Good on computers...harder to login on Android phone.
"
844,"
can only listen when connected to the internet. I listen to audiobooks while driving and shopping. This doesn't work for me.
","October 29, 2015",Blue Jade Hawaii,"
very difficult to maneuver. every book I tried to ...
"
845,"
Works great on my MacBook Pro and on my Fire HD, but difficult to login on my Android phone. Do like the App once I can finally login on my phone.
","September 10, 2016",Diane C. Merenda,"
Works well for me
"
846,"
very difficult to maneuver.  every book I tried to borrow had to be put on hold.  got the book from the library, read it and turned it in before it was available on overdrive.
","February 3, 2016",maddie,"
won't download
"
847,"
I use this with my local library card to borrow books from the library for my i-pad. Daughter recently got it to do the same for her kindle. Some of it is not very intuitive, but once it is set up, and you have used it a few times, it makes sense. I wish that my daughter had it figured out. She is very confused by the interface, and having to go from bookbag to bookshelf does not make sense to her. So, a 4 from me, and a 3 from her. She is twelve, and tech savvy, so it must be the kindle procedure that has her annoyed. I would give 3.5 stars, but that is not an option.
","January 16, 2013",L. Coirier,"
Not impressed
"
848,"
I did everything that all the answers to the reviews complaining of download troubles and it still would not download.What a shame.  Can anyone help me. I now have deleted off my account.  I await  step, by step instructions.I own the Kindle Fire HD rec'd 12-25-2012
","January 30, 2013",MTS,"
Three Stars
"
849,"
I got this app because my library partners with Overdrive, then I find that the library book I ordered was an ebook PDF and Overdrive doesn't support it.  Then I couldn't even read the book through Adobe Digital Editions and my libraries helpdesk deferred to Overdrive technical support.  It was by email and they promise a response within 8 business hours or 24 hours on weekends.  They took all of that and more every time and the responses were so brief that I had to go back and forth for days to get the answers to simple questions.
","August 17, 2016",D. Peters,"
Disappointing
"
850,"
Hard to use.  Does not hold place in books
","March 3, 2017",Linda Pearson,Does not work on Kindle fire
851,"
I'm disappointed as I cannot access my library through this app.
","May 4, 2016",Sharon B.,Libby by Overdrive is a necessary app on Amazon Fire Tablets
852,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Can't get it to work
"
853,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
So Far, No Luck
"
854,"
Still trying to get into it!  It's been 3 hours & the website is still not responding. :(
","January 6, 2019",JKinIllinois,"
It is like a library
"
855,"
I am still learning about my tablet so my failure to download books is probably more me than the app. I'm still trying to find a book I downloaded from amazon a couple weeks ago. Will continue to work on getting it right.
","September 6, 2012",Mary A. Wilson,"
Ok but Needs Work
"
856,"
It is like a library, you need to know how it works and then it is easy.  It is not very intuitive but works well.
","February 1, 2017",Kai,"
One Star
"
857,"
I'd love to give OverDrive a better rating but it is a little glitchy and not user intuitive.  BUT it gets the job done of letting me check out eBooks from my library.
","May 8, 2017",Cynthia,"
Thrilled to have a way to borrow digital books from ...
"
858,"
This is one difficult app. Usually I can figure things out, but not this.
","June 2, 2016",Amazon Customer,"
Not impressed
"
859,"
Thrilled to have a way to borrow digital books from my library.  App is clunky and does not allow for early return of library materials.
","October 20, 2016",JR,"
No sync
"
860,"
Difficult to navigate in the library.
","November 12, 2016",Leslie Moore,"
Can’t open the book to read.
"
861,"
Does not sync accross multiple devices. I borrowed an ebook using my Android phone and It does not appear on my Kindle HDX. Bummer.
","June 16, 2015",Amazon Customer,"
Read for free.
"
862,"
I get sent to Amazon to buy the book when I try to open it to read.
","February 21, 2019",Criss Pearson,Does not work on Kindle fire
863,"
Limited selection and pages could be organized a little bit better.
","August 10, 2016",BLR. Hansen,Libby by Overdrive is a necessary app on Amazon Fire Tablets
864,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
so I don't know if it is good or not
"
865,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
It's okay
"
866,"
Giving it a 3 star rating because I never really used the app, so I don't know if it is good or not. It is free. So there's a lot to be said for that.
","January 16, 2016",Amazon Customer,"
Overdrive Media Console for Android
"
867,"
Program works fine, but I don't care for the font used.  I find it more difficult to see and read. I'm not thrilled my local library has decided to use this delivery program for some of their ebooks
","July 16, 2013",Kindle Customer,"
Good, but not great.
"
868,"
Accidentally ordered the wrong one. This one was for Android and not Kindle Fire. It is probably fine for Android.
","August 29, 2014",packrat,"
Slow and Convoluted
"
869,"
Super convient. Most books available to check out, but very confusing layout. Hard to get used too
","September 18, 2016",WhiteMountain,"
Doenloads have been very inconsistent. I was only successful ...
"
870,"
The ""new"" version of the Overdrive Media Console is a visual improvement over its predecessor, but still is clunky and, obviously, not intended for use on smaller tablet devices or smartphones because its display does not fit well on the display realestate and requesting layout changes requires signaling its host which can involve lengthy delays on some connections. Considering its bloated size, the app code really doesn't do much. There should have been as much time spent on the process functtions as there was on the display functions... then I might have been a happier User.Update: I have now uninstalled this app. I am too old to put up with crap!
","April 27, 2013",John Gaston,"
It takes a lot of time to get it done.
"
871,"
Doenloads have been very inconsistent. I was only successful once out of 4 tries. The ones that worked were through Amazon directly, not the libraryJoan Lowell
","August 16, 2017",joan lowell,"
Not bad.
"
872,"
If you have the amazon kindle it is almost impossible to stay connected to a network.
","April 5, 2019",stefi golper,"
Recommend the Amazon app store for this
"
873,"
I like the abilitiy to download eBooks.  It was very easy.  However the interface to the website doesn't make everything clear.  I'm new to the program, but audiobooks I can't seem to download the same way the eBooks download and now I can't return them early because Amazon hasn't registered the download.  So for two weeks 2 of my 5 downloads are taken and I can't use the resourse.I like the ability to select what is currently available.
","December 27, 2012",Colin Dawson,"
Overdrive is great for anyone who has a small tablet
"
874,"
Had some problems at first, but the app download from Amazon app store did work on my tablet -immediately. Will be using for e-books from the library.  Recommend the Amazon app store for this.
","October 25, 2015",Amazon Customer,Does not work on Kindle fire
875,"
Overdrive is great for anyone who has a small tablet, kindle, or other small device. I tried to use overdrive on my laptop, but it didn't work for what I needed it for.
","August 25, 2017",Carlie,Libby by Overdrive is a necessary app on Amazon Fire Tablets
876,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
It Works, but
"
877,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
No good for uk Bought to download books from library but ...
"
878,"
The app works fine, but the confusion begins to occur when you realize there may be a mixture of your local library, a regional library, and Amazon by the time everything happens.
","January 20, 2014",G. Guth,"
Confusing
"
879,"
No good for ukBought to download books from library but when I looked at details and tried to log on found only for  U.S.plus other countries.  Website search for uk libraries and then link for digital library put me onto this.  Maybe I have done something wrong but they should make it easier to download books to kindle devices.
","October 1, 2015",wackyjac,"
New Update Doesn't Work! Help Us!
"
880,"
Could not get overdrive to work on my Fire Tablet and finally gave up.
","January 8, 2019",Amazon Customer,"
So-so
"
881,"
I have LOVED OverDrive, but like many people here, the update does not work on my Kindle Fire!
","November 14, 2016",Katherine Hermann,"
Overdrive Media Console for Kindle Fire
"
882,"
As soon as you check out a book they give you only one week to finish it,personally, I think they should give you more time on reading a book. It's a good app but you should use it only when you're reading a small book or a book you can finish reading within a week.
","August 24, 2013",cool,"
This is bot the best app to access the library information
"
883,"
When using this library app on my Kindle Fire, once on the Amazon site it charged me $11.99 to purchase the book I was intending to borrow and didn't give me the option to borrow it.  Please fix this issue. Removing the app from my device. OverDrive Media Console: Library eBooks & Audiobooks
","January 27, 2013",Natalie,"
No longer works. Can check out books, but can't read them.
"
884,"
This is bot the best app to access the library information. The library says the best and lest time consuming app is Flipster but you do not support
","January 11, 2018",Scott J. Abel,"
technical problems
"
885,"
I used to love it. I could check out library books and carry them around in my Kindle. As of last week, though, I can no longer download library books to my Kindle. The app just hangs up when I tell it to download. I was able, after restarting my Kindle, to open one book in browser mode, but then when I tried to download a book (because I like to read when out of wi-fi range as well), it gave me a blank white screen once more. I don't want to have to restart my Kindle every time I want to read a book, and only be able to read it in browser (wi-fi mode). The app is useless as it is currently working. Did they do an update, or something, and trash the earlier (working) version?
","June 5, 2015",J. Hall,"
Pretty good ......but
"
886,"
The app has problems. It crashes or hangs frequently especially when performing custom searches on the library catalogues. I wish I could get my library books without it.
","January 26, 2014",Pia,Does not work on Kindle fire
887,"
Pretty i were more books available but that may have more to do with my public library
","January 17, 2017",Patrick Irvine,Libby by Overdrive is a necessary app on Amazon Fire Tablets
888,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Product did not do what I wanted to do
"
889,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Clunky, but works
"
890,"
Jyst boo
","June 21, 2018",jardin 1,"
Much prefer 3M CLoud. The. Overdrive interface is ...
"
891,"
The app is a little clunky. It wraps the library's website, which isn't the best experience. But, it gets me my e-books from the library, so I can't really complain
","April 7, 2015",Williams,"
It will do
"
892,"
Much prefer 3M CLoud.The .Overdrive interface is not very friendly.
","May 10, 2016",Plymouth,"
Some issues
"
893,"
It seems to be okay.  I have no problem except recently letting me know I don't have the sound app for listening to samples on my Kindle.  I did before.
","January 20, 2015",Amazon Customer,"
Slow, many times have to go back thru the ...
"
894,"
still having some issues logging into it from Iphone or Kindle Fire.  Works great on my computer.
","February 22, 2016",smags,"
Still learning
"
895,"
Slow, many times have to go back thru the library to get back to where I left off.No indications either percent read or page number you are on.Maybe I don't know how to fully use the system--this is my first time.
","December 11, 2016",William T Creasman,"
Hello (free) local library content!
"
896,"
I've just started using my Kindle and have gotten several ebooks with overdrive.  It is still a little confusing as to how to get and return books, but I'll get there I'm sure.
","April 7, 2014",R. Kauffman,"
This was harder to use than I had thought it ...
"
897,"
This app is slightly more polished than Hoopla (another digital library service, also used by my local library) but it feels a bit awkward to navigate. The content is great and I <3 my library for including it, but it really needs a modernized interface. It feels a bit like I am aimlessly walking around a library finding stuff at times because of the design, That said, it does work well on my 2015 Fire tablet.Now, before you get this, check your local library and see if they are connected to OverDrive. If so, you'll just need a current library card to check things out. That's wonderful!
","March 7, 2018",Yasue,"
But love One Click Digital
"
898,"
This was harder to use than I had thought it would be. I probably just need to use it more often.
","December 7, 2014",tblazer,Does not work on Kindle fire
899,"
Not a fan of Overdrive Medial, But love One Click Digital. Problem with download and use. went to library two times to the IT dept for help. They suggested OC
","August 18, 2014",Traci Lynn Rahe,Libby by Overdrive is a necessary app on Amazon Fire Tablets
900,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
System is slow
"
901,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
One Star
"
902,"
But when it's all you've got, you deal with it. I get nervous about upgrading the software because my iTouch is 4 years old and Overdrive might obsolete it, like Apple did.
","January 5, 2014",Debra,"
but otherwise it is a nice app to have
"
903,"
can't get this to work after I replaced my broken Kindle.
","December 1, 2015",this game is very fun.,"
Meh
"
904,"
Overdrive seems a bit difficult to use, but otherwise it is a nice app to have.
","January 27, 2016",ALE56,"
Fine for ebooks, doesn't play well with iTunes.
"
905,"
I can generally get the same features from my library card.
","April 29, 2017",valincali,"
One Star
"
906,"
I read like a maniac now that I can check out library e-books on line. However, the program doesn't play well with iTunes, the only way I know of to get audiobooks onto my older iPod.  I have to find the audio files on my computer, then import them into iTunes.  C'est la vie.
","February 15, 2018",marciaweez,"
invades privacy to do most things
"
907,"
I cannot get into my library. Takes me around in circles but doesn't let me into my library.
","February 21, 2018",Kindle Customer,"
Difficult to Use
"
908,"
not as simple as advertised and invasive of privacy.
","December 22, 2018",Roy,"
This app did not work!
"
909,"
Each time I try to log in, I must enter all of my info again and again and again.  This is a pain.  I do not always have my Library Card with me to re-enter the number.  Also, why should I have to?
","May 22, 2013",L. A. Lussier,"
Great on the iPad, crashes on the Kindle Fire HD
"
910,"
Library e book was not delivered after numerous tries.
","September 29, 2018",Natu,Does not work on Kindle fire
